,code,name,prompt
10,6A01.22,Developmental language disorder with impairment of mainly pragmatic language,"Disorder Name: Developmental language disorder with impairment of mainly pragmatic language
Disorder Code: 6A01.22
Disorder symptoms: Developmental language disorder with impairment of mainly pragmatic language is characterised by persistent and marked difficulties with the understanding and use of language in social contexts, for example making inferences, understanding verbal humour, and resolving ambiguous meaning. These difficulties arise during the developmental period, typically during early childhood, and cause significant limitations in the individual’s ability to communicate. Pragmatic language abilities are markedly below the expected level given the individual’s age and level of intellectual functioning, but the other components of receptive and expressive language are relatively intact. This qualifier should not be used if the pragmatic language impairment is better explained by Autism Spectrum Disorder or by impairments in other components of receptive or expressive language.
If you diagnose this disease exclude: Diseases of the nervous system; Selective mutism"
11,6A01.23,"Developmental language disorder, with other specified language impairment","Disorder Name: Developmental language disorder, with other specified language impairment
Disorder Code: 6A01.23
Disorder symptoms: Developmental language disorder with other specified language impairment is characterised by persistent difficulties in the acquisition, understanding, production or use of language (spoken or signed), that arise during the developmental period and cause significant limitations in the individual’s ability to communicate. The pattern of specific deficits in language abilities is not adequately captured by any of the other developmental language disorder categories.
If you diagnose this disease exclude: Autism spectrum disorder; Diseases of the nervous system; Disorders of intellectual development; Selective mutism"
12,6A01.Y,Other specified developmental speech or language disorders,
13,6A01.Z,"Developmental speech or language disorders, unspecified",
14,6A02.0,Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language,"Disorder Name: Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language
Disorder Code: 6A02.0
Disorder symptoms: All definitional requirements for autism spectrum disorder are met, intellectual functioning and adaptive behaviour are found to be at least within the average range (approximately greater than the 2.3rd percentile), and there is only mild or no impairment in the individual's capacity to use functional language (spoken or signed) for instrumental purposes, such as to express personal needs and desires.
"
15,6A02.1,Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language,"Disorder Name: Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language
Disorder Code: 6A02.1
Disorder symptoms: All definitional requirements for both autism spectrum disorder and disorder of intellectual development are met and there is only mild or no impairment in the individual's capacity to use functional language (spoken or signed) for instrumental purposes, such as to express personal needs and desires.
"
16,6A02.2,Autism spectrum disorder without disorder of intellectual development and with impaired functional language,"Disorder Name: Autism spectrum disorder without disorder of intellectual development and with impaired functional language
Disorder Code: 6A02.2
Disorder symptoms: All definitional requirements for autism spectrum disorder are met, intellectual functioning and adaptive behaviour are found to be at least within the average range (approximately greater than the 2.3rd percentile), and there is marked impairment in functional language (spoken or signed) relative to the individual’s age, with the individual not able to use more than single words or simple phrases for instrumental purposes, such as to express personal needs and desires.
"
17,6A02.3,Autism spectrum disorder with disorder of intellectual development and with impaired functional language,"Disorder Name: Autism spectrum disorder with disorder of intellectual development and with impaired functional language
Disorder Code: 6A02.3
Disorder symptoms: All definitional requirements for both autism spectrum disorder and disorder of intellectual development are met and there is marked impairment in functional language (spoken or signed) relative to the individual’s age, with the individual not able to use more than single words or simple phrases for instrumental purposes, such as to express personal needs and desires.
"
18,6A02.5,Autism spectrum disorder with disorder of intellectual development and with absence of functional language,"Disorder Name: Autism spectrum disorder with disorder of intellectual development and with absence of functional language
Disorder Code: 6A02.5
Disorder symptoms: All definitional requirements for both autism spectrum disorder and disorder of intellectual development are met and there is complete, or almost complete, absence of ability relative to the individual’s age to use functional language (spoken or signed) for instrumental purposes, such as to express personal needs and desires
"
19,6A02.Y,Other specified autism spectrum disorder,
20,6A02.Z,"Autism spectrum disorder, unspecified",
21,6A03.0,Developmental learning disorder with impairment in reading,"Disorder Name: Developmental learning disorder with impairment in reading
Disorder Code: 6A03.0
Disorder symptoms: Developmental learning disorder with impairment in reading is characterised by significant and persistent difficulties in learning academic skills related to reading, such as word reading accuracy, reading fluency, and reading comprehension. The individual’s performance in reading is markedly below what would be expected for chronological age and level of intellectual functioning and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder with impairment in reading is not due to a disorder of intellectual development, sensory impairment (vision or hearing), neurological disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.
If you diagnose this disease exclude: Disorders of intellectual development"
22,6A03.1,Developmental learning disorder with impairment in written expression,"Disorder Name: Developmental learning disorder with impairment in written expression
Disorder Code: 6A03.1
Disorder symptoms: Developmental learning disorder with impairment in written expression is characterised by significant and persistent difficulties in learning academic skills related to writing, such as spelling accuracy, grammar and punctuation accuracy, and organisation and coherence of ideas in writing. The individual’s performance in written expression is markedly below what would be expected for chronological age and level of intellectual functioning and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder with impairment in written expression is not due to a disorder of intellectual development, sensory impairment (vision or hearing), a neurological or motor disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.
If you diagnose this disease exclude: Disorders of intellectual development"
23,6A03.2,Developmental learning disorder with impairment in mathematics,"Disorder Name: Developmental learning disorder with impairment in mathematics
Disorder Code: 6A03.2
Disorder symptoms: Developmental learning disorder with impairment in mathematics is characterised by significant and persistent difficulties in learning academic skills related to mathematics or arithmetic, such as number sense, memorization of number facts, accurate calculation, fluent calculation, and accurate mathematic reasoning. The individual’s performance in mathematics or arithmetic is markedly below what would be expected for chronological or developmental age and level of intellectual functioning and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder with impairment in mathematics is not due to a disorder of intellectual development, sensory impairment (vision or hearing), a neurological disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.
If you diagnose this disease exclude: Disorders of intellectual development"
24,6A03.3,Developmental learning disorder with other specified impairment of learning,"Disorder Name: Developmental learning disorder with other specified impairment of learning
Disorder Code: 6A03.3
Disorder symptoms: Developmental learning disorder with other specified impairment of learning is characterised by significant and persistent difficulties in learning academic skills other than reading, mathematics, and written expression. The individual’s performance in the relevant academic skill is markedly below what would be expected for chronological age and level of intellectual functioning and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder with other specified impairment of learning is not due to a disorder of intellectual development, sensory impairment (vision or hearing), neurological disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.
If you diagnose this disease exclude: Disorders of intellectual development"
25,6A03.Z,"Developmental learning disorder, unspecified",
26,6A04,Developmental motor coordination disorder,"Disorder Name: Developmental motor coordination disorder
Disorder Code: 6A04
Disorder symptoms: Developmental motor coordination disorder is characterised by a significant delay in the acquisition of gross and fine motor skills and impairment in the execution of coordinated motor skills that manifest in clumsiness, slowness, or inaccuracy of motor performance. Coordinated motor skills are markedly below that expected given the individual's chronological age and level of intellectual functioning. Onset of coordinated motor skills difficulties occurs during the developmental period and is typically apparent from early childhood. Coordinated motor skills difficulties cause significant and persistent limitations in functioning (e.g. in activities of daily living, school work, and vocational and leisure activities). Difficulties with coordinated motor skills are not solely attributable to a Disease of the Nervous System, Disease of the Musculoskeletal System or Connective Tissue, sensory impairment, and not better explained by a Disorder of Intellectual Development.
If you have Orofacial motor coordination disorder other inclusions could be: Orofacial motor coordination disorder
If you diagnose this disease exclude: Abnormalities of gait and mobility; Diseases of the musculoskeletal system or connective tissue; Diseases of the nervous system"
27,6A05.0,"Attention deficit hyperactivity disorder, predominantly inattentive presentation","Disorder Name: Attention deficit hyperactivity disorder, predominantly inattentive presentation
Disorder Code: 6A05.0
Disorder symptoms: All definitional requirements for attention deficit hyperactivity disorder are met and inattentive symptoms are predominant in the clinical presentation. Inattention refers to significant difficulty in sustaining attention to tasks that do not provide a high level of stimulation or frequent rewards, distractibility and problems with organisation. Some hyperactive-impulsive symptoms may also be present, but these are not clinically significant in relation to the inattentive symptoms.
"
28,6A05.1,"Attention deficit hyperactivity disorder, predominantly hyperactive-impulsive presentation","Disorder Name: Attention deficit hyperactivity disorder, predominantly hyperactive-impulsive presentation
Disorder Code: 6A05.1
Disorder symptoms: All definitional requirements for attention deficit hyperactivity disorder are met and hyperactive-impulsive symptoms are predominant in the clinical presentation. Hyperactivity refers to excessive motor activity and difficulties with remaining still, most evident in structured situations that require behavioural self-control. Impulsivity is a tendency to act in response to immediate stimuli, without deliberation or consideration of the risks and consequences. Some inattentive symptoms may also be present, but these are not clinically significant in relation to the hyperactive-impulsive symptoms.
"
29,6A05.2,"Attention deficit hyperactivity disorder, combined presentation","Disorder Name: Attention deficit hyperactivity disorder, combined presentation
Disorder Code: 6A05.2
Disorder symptoms: All definitional requirements for attention deficit hyperactivity disorder are met. Both inattentive and hyperactive-impulsive symptoms are clinically significant, with neither predominating in the clinical presentation. Inattention refers to significant difficulty in sustaining attention to tasks that do not provide a high level of stimulation or frequent rewards, distractibility and problems with organisation. Hyperactivity refers to excessive motor activity and difficulties with remaining still, most evident in structured situations that require behavioural self-control. Impulsivity is a tendency to act in response to immediate stimuli, without deliberation or consideration of the risks and consequences.
"
30,6A05.Y,"Attention deficit hyperactivity disorder, other specified presentation",
31,6A05.Z,"Attention deficit hyperactivity disorder, presentation unspecified",
32,6A06.0,Stereotyped movement disorder without self-injury,"Disorder Name: Stereotyped movement disorder without self-injury
Disorder Code: 6A06.0
Disorder symptoms: This category should be applied to forms of Stereotyped movement disorder in which stereotyped behaviours markedly interfere with normal activities, but do not result in self-inflicted bodily injury. Stereotyped movement disorder without self-injury is characterised by voluntary, repetitive, stereotyped, apparently purposeless (and often rhythmic) movements that arise during the early developmental period, are not caused by the direct physiological effects of a substance or medication (including withdrawal), and markedly interfere with normal activities. Stereotyped movements that are non-injurious can include body rocking, head rocking, finger-flicking mannerisms, and hand flapping.
"
33,6A06.1,Stereotyped movement disorder with self-injury,"Disorder Name: Stereotyped movement disorder with self-injury
Disorder Code: 6A06.1
Disorder symptoms: This category should be applied to forms of Stereotyped movement disorder in which stereotyped behaviours result in self-inflicted bodily injury that is significant enough to require medical treatment, or would result in such injury if protective measures (e.g., helmet to prevent head injury) were not employed. Stereotyped movement disorder with self-injury is characterised by voluntary, repetitive, stereotyped, apparently purposeless (and often rhythmic) movements that arise during the early developmental period, are not caused by the direct physiological effects of a substance or medication (including withdrawal). Stereotyped movements that are self-injurious can include head banging, face slapping, eye poking, and biting of the hands, lips, or other body parts.
"
34,6A06.Z,"Stereotyped movement disorder, unspecified",
35,6A0Y,Other specified neurodevelopmental disorders,
36,6A0Z,"Neurodevelopmental disorders, unspecified",
37,6A20.00,"Schizophrenia, first episode, currently symptomatic","Disorder Name: Schizophrenia, first episode, currently symptomatic
Disorder Code: 6A20.00
Disorder symptoms: All definitional requirements for Schizophrenia, first episode in terms of symptoms and duration are currently met, or have been met within the past one month.
"
38,6A20.01,"Schizophrenia, first episode, in partial remission","Disorder Name: Schizophrenia, first episode, in partial remission
Disorder Code: 6A20.01
Disorder symptoms: All definitional requirements for Schizophrenia, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
39,6A20.02,"Schizophrenia, first episode, in full remission","Disorder Name: Schizophrenia, first episode, in full remission
Disorder Code: 6A20.02
Disorder symptoms: All definitional requirements for Schizophrenia, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
40,6A20.0Z,"Schizophrenia, first episode, unspecified",
41,6A20.10,"Schizophrenia, multiple episodes, currently symptomatic","Disorder Name: Schizophrenia, multiple episodes, currently symptomatic
Disorder Code: 6A20.10
Disorder symptoms: All definitional requirements for Schizophrenia, multiple episodes in terms of symptoms and duration are currently met, or have been met within the past one month.
"
42,6A20.11,"Schizophrenia, multiple episodes, in partial remission","Disorder Name: Schizophrenia, multiple episodes, in partial remission
Disorder Code: 6A20.11
Disorder symptoms: All definitional requirements for Schizophrenia, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
43,6A20.12,"Schizophrenia, multiple episodes, in full remission","Disorder Name: Schizophrenia, multiple episodes, in full remission
Disorder Code: 6A20.12
Disorder symptoms: All definitional requirements for Schizophrenia, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
44,6A20.1Z,"Schizophrenia, multiple episodes, unspecified",
45,6A20.20,"Schizophrenia, continuous, currently symptomatic","Disorder Name: Schizophrenia, continuous, currently symptomatic
Disorder Code: 6A20.20
Disorder symptoms: All definitional requirements for Schizophrenia, continuous in terms of symptoms and duration are currently met, or have been met within the past one month.
"
46,6A20.21,"Schizophrenia, continuous, in partial remission","Disorder Name: Schizophrenia, continuous, in partial remission
Disorder Code: 6A20.21
Disorder symptoms: All definitional requirements for Schizophrenia, continuous in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
47,6A20.22,"Schizophrenia, continuous, in full remission","Disorder Name: Schizophrenia, continuous, in full remission
Disorder Code: 6A20.22
Disorder symptoms: All definitional requirements for Schizophrenia, continuous in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
48,6A20.2Z,"Schizophrenia, continuous, unspecified",
49,6A20.Y,Other specified episode of schizophrenia,
50,6A20.Z,"Schizophrenia, episode unspecified",
51,6A21.00,"Schizoaffective disorder, first episode, currently symptomatic","Disorder Name: Schizoaffective disorder, first episode, currently symptomatic
Disorder Code: 6A21.00
Disorder symptoms: All definitional requirements for Schizoaffective disorder, first episode in terms of symptoms and duration are currently met, or have been met within the past one month.
"
52,6A21.01,"Schizoaffective disorder, first episode, in partial remission","Disorder Name: Schizoaffective disorder, first episode, in partial remission
Disorder Code: 6A21.01
Disorder symptoms: All definitional requirements for Schizoaffective disorder, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
53,6A21.02,"Schizoaffective disorder, first episode, in full remission","Disorder Name: Schizoaffective disorder, first episode, in full remission
Disorder Code: 6A21.02
Disorder symptoms: All definitional requirements for Schizoaffective disorder, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
54,6A21.0Z,"Schizoaffective disorder, first episode, unspecified",
55,6A21.10,"Schizoaffective disorder, multiple episodes, currently symptomatic","Disorder Name: Schizoaffective disorder, multiple episodes, currently symptomatic
Disorder Code: 6A21.10
Disorder symptoms: All definitional requirements for Schizoaffective disorder, multiple episodes in terms of symptoms and duration are currently met, or have been met within the past one month.
"
56,6A21.11,"Schizoaffective disorder, multiple episodes, in partial remission","Disorder Name: Schizoaffective disorder, multiple episodes, in partial remission
Disorder Code: 6A21.11
Disorder symptoms: All definitional requirements for Schizoaffective disorder, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
57,6A21.12,"Schizoaffective disorder, multiple episodes, in full remission","Disorder Name: Schizoaffective disorder, multiple episodes, in full remission
Disorder Code: 6A21.12
Disorder symptoms: All definitional requirements for Schizoaffective disorder, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
58,6A21.1Z,"Schizoaffective disorder, multiple episodes, unspecified",
59,6A21.20,"Schizoaffective disorder, continuous, currently symptomatic","Disorder Name: Schizoaffective disorder, continuous, currently symptomatic
Disorder Code: 6A21.20
Disorder symptoms: All definitional requirements for Schizoaffective disorder, continuous in terms of symptoms and duration are currently met, or have been met within the past one month.
"
60,6A21.21,"Schizoaffective disorder, continuous, in partial remission","Disorder Name: Schizoaffective disorder, continuous, in partial remission
Disorder Code: 6A21.21
Disorder symptoms: All definitional requirements for Schizoaffective disorder, continuous in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
61,6A21.22,"Schizoaffective disorder, continuous, in full remission","Disorder Name: Schizoaffective disorder, continuous, in full remission
Disorder Code: 6A21.22
Disorder symptoms: All definitional requirements for Schizoaffective disorder, continuous in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
62,6A21.2Z,"Schizoaffective disorder, continuous, unspecified",
63,6A21.Y,Other specified schizoaffective disorder,
64,6A21.Z,"Schizoaffective disorder, unspecified",
65,6A22,Schizotypal disorder,"Disorder Name: Schizotypal disorder
Disorder Code: 6A22
Disorder symptoms: Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.
If you have Schizotypal personality disorder other inclusions could be: Schizotypal personality disorder
If you diagnose this disease exclude: Autism spectrum disorder; Personality disorder"
66,6A23.00,"Acute and transient psychotic disorder, first episode, currently symptomatic","Disorder Name: Acute and transient psychotic disorder, first episode, currently symptomatic
Disorder Code: 6A23.00
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, first episode in terms of symptoms and duration are currently met, or have been met within the past one month.
"
67,6A23.01,"Acute and transient psychotic disorder, first episode, in partial remission","Disorder Name: Acute and transient psychotic disorder, first episode, in partial remission
Disorder Code: 6A23.01
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
68,6A23.02,"Acute and transient psychotic disorder, first episode, in full remission","Disorder Name: Acute and transient psychotic disorder, first episode, in full remission
Disorder Code: 6A23.02
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
69,6A23.0Z,"Acute and transient psychotic disorder, first episode, unspecified",
70,6A23.10,"Acute and transient psychotic disorder, multiple episodes, currently symptomatic","Disorder Name: Acute and transient psychotic disorder, multiple episodes, currently symptomatic
Disorder Code: 6A23.10
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, multiple episodes in terms of symptoms and duration are currently met, or have been met within the past one month.
"
71,6A23.11,"Acute and transient psychotic disorder, multiple episodes, in partial remission","Disorder Name: Acute and transient psychotic disorder, multiple episodes, in partial remission
Disorder Code: 6A23.11
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
72,6A23.12,"Acute and transient psychotic disorder, multiple episodes, in full remission","Disorder Name: Acute and transient psychotic disorder, multiple episodes, in full remission
Disorder Code: 6A23.12
Disorder symptoms: All definitional requirements for Acute and transient psychotic disorder, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
73,6A23.1Z,"Acute and transient psychotic disorder, multiple episodes, unspecified",
74,6A23.Y,Other specified acute and transient psychotic disorder,
75,6A23.Z,"Acute and transient psychotic disorder, unspecified",
76,6A24.0,"Delusional disorder, currently symptomatic","Disorder Name: Delusional disorder, currently symptomatic
Disorder Code: 6A24.0
Disorder symptoms: All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month.
"
77,6A24.1,"Delusional disorder, in partial remission","Disorder Name: Delusional disorder, in partial remission
Disorder Code: 6A24.1
Disorder symptoms: All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
"
78,6A24.2,"Delusional disorder, in full remission","Disorder Name: Delusional disorder, in full remission
Disorder Code: 6A24.2
Disorder symptoms: All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
"
79,6A24.Z,"Delusional disorder, unspecified",
80,6A25.0,Positive symptoms in primary psychotic disorders,"Disorder Name: Positive symptoms in primary psychotic disorders
Disorder Code: 6A25.0
Disorder symptoms: Positive symptoms in primary psychotic disorders include persistent delusions, persistent hallucinations (most commonly verbal auditory hallucinations), disorganised thinking (formal thought disorder such as loose associations, thought derailment, or incoherence), grossly disorganised behaviour (behaviour that appears bizarre, purposeless and not goal-directed) and experiences of passivity and control (the experience that one's feelings, impulses, or thoughts are under the control of an external force). The rating should be made based on the severity of positive symptoms during the past week.
"
